"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032496","GO:0032496","response to lipopolysaccharide","36/852","446/25730",0.0807174887892377,2.43763026590034,5.66780976213952,9.60740764552297e-07,0.000105953846455031,8.35627828917316e-05,"Selenof/Cd200/Cd36/Pf4/Mef2c/Abcb1a/Thbd/Cmpk2/Slpi/Plscr4/B2m/Tlr4/C2/Mgst1/Wnt5a/Gbp2/Ankrd1/F2r/Kcnj8/Cd86/Gbp6/Plscr2/Mir15a/Cd55/Cx3cr1/Ptgfr/Igtp/Stap1/Casp1/Gpx1/Casp4/Spi1/Cxcl13/Irgm2/Cd14/Klrk1",36
"GO:0050680","GO:0050680","negative regulation of epithelial cell proliferation","20/852","170/25730",0.117647058823529,3.55288594310964,6.18014930231858,9.80066740946902e-07,0.000105953846455031,8.35627828917316e-05,"Cav1/Pdcd10/Cav2/Synj2bp/Wfdc1/Cd109/Mef2c/Gas1/B2m/Vegfc/Lims1/Flt1/Wnt5a/Rgcc/Sulf1/Tgfb2/Vash1/Sfrp2/Cdkn1c/Eaf2",20
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","31/852","354/25730",0.0875706214689266,2.64459165539376,5.76596032402184,9.90424087976314e-07,0.000105953846455031,8.35627828917316e-05,"Cav1/Rap1a/Rap1b/Synj2bp/Cd36/Kdr/Cavin3/Pdgfd/Tlr4/Iapp/Ccn2/Acta2/Ackr3/F2r/Ccl11/Gcnt2/Pdgfc/Fgf1/Npnt/Nox4/Inhba/Ccr1/Cxcr4/Fbln1/Bmp2/Glipr2/Gcg/Flt4/Ccn1/Hand2/Nek10",31
"GO:1903034","GO:1903034","regulation of response to wounding","21/852","186/25730",0.112903225806452,3.40962441314554,6.10358353882323,1.04557306744214e-06,0.000109473724784739,8.63388107426462e-05,"Cav1/Tmx1/Wfdc1/Cd36/Cd109/Thbd/Plat/Smoc2/Tfpi/F2r/Il33/Anxa1/Rtn4/Pros1/Cldn4/Mdk/Cxcr4/Clec7a/Adra2a/Tnfrsf12a/Serpine2",21
"GO:0019646","GO:0019646","aerobic electron transport chain","12/852","65/25730",0.184615384615385,5.57529794149513,6.83484930308079,1.29050705276826e-06,0.000129933475602276,0.000102474833858242,"Cycs/mt-Nd3/mt-Nd2/Cox7b/Dnajc15/mt-Nd1/Ndufb8/Uqcrb/mt-Cytb/Uqcrq/Ndufc2/mt-Nd4",12
"GO:0001837","GO:0001837","epithelial to mesenchymal transition","20/852","173/25730",0.115606936416185,3.49127520421178,6.08433810521753,1.29378994198567e-06,0.000129933475602276,0.000102474833858242,"Wwtr1/Rflnb/Tmem100/Qki/Wnt5a/Rgcc/Has2/Gcnt2/Tgfb2/Pdpn/Mark1/Rtn4/Slc39a10/Efna1/Hey1/Mdk/Foxc1/Bmp2/Glipr2/Sfrp2",20
"GO:0071692","GO:0071692","protein localization to extracellular region","37/852","473/25730",0.0782241014799154,2.36233113976317,5.53408583773919,1.43935578935251e-06,0.000141661396788074,0.000111724311480899,"Bmal1/Selenot/Cd200/Nek7/Slc16a1/Mpc2/Clock/Cavin1/Rsad2/Dph3/Nbl1/Vegfc/Gja5/Tlr4/Serp1/Cyp51/Dynll1/Lepr/Cltrn/Sncg/Ins1/Ankrd1/F2r/Kcnj8/Hmgn3/Ildr2/Tgfb2/Anxa1/Gnao1/Mafa/Inhbb/Slc30a8/Cpe/Casp1/Gcg/Adra2a/Ndufaf2",37
"GO:0050921","GO:0050921","positive regulation of chemotaxis","19/852","160/25730",0.11875,3.58619424882629,6.07266449948299,1.57845830623877e-06,0.000150001634972251,0.000118302019945173,"S1pr1/Rarres2/Cxcl14/Kdr/Pdgfd/Smoc2/Vegfc/Wnt5a/Ccl7/P2ry12/Lpar1/Ccr1/Cx3cr1/Mdk/Cxcr4/Tmsb4x/Spi1/Cxcl13/Scg2",19
"GO:0016525","GO:0016525","negative regulation of angiogenesis","16/852","117/25730",0.136752136752137,4.12985032703343,6.2792792146275,1.6111517853893e-06,0.000150001634972251,0.000118302019945173,"Dcn/Synj2bp/Cd36/Pf4/Fbln5/Qki/Sema3e/Cldn5/Flt1/Zfp354c/Rgcc/Sulf1/Tgfb2/Vash1/Cx3cr1/Foxc1",16
"GO:0002062","GO:0002062","chondrocyte differentiation","17/852","131/25730",0.129770992366412,3.91902304411712,6.19847980090964,1.61554290866273e-06,0.000150001634972251,0.000118302019945173,"Rflnb/Bpnt2/Mef2c/Lnpk/Efemp1/Serpinh1/Cytl1/Ccn2/Mustn1/Sulf1/Maf/Prkg2/Mdk/Bmp2/Sfrp2/Bmpr1b/Pth1r",17
"GO:0071674","GO:0071674","mononuclear cell migration","23/852","224/25730",0.102678571428571,3.10084465124078,5.84413567708188,1.72735293168413e-06,0.000157413032904029,0.000124147178540339,"Pecam1/Cd200/S1pr1/Rarres2/Cxcl14/Jam2/Pdgfd/Nbl1/Flt1/Wnt5a/Ccl7/Anxa1/Ccl12/P2ry12/Rtn4/Ccr1/Cx3cr1/Mdk/Stap1/Spi1/Cxcl13/Ptpro/Klrk1",23
